name,city,tagline,description,word_count,char_count
Rimidi,Atlanta,Data analytics software for diabetes,"Rimidi's flagship product, Diabetes+Me, is a cloud-based application that empowers individuals with diabetes, their health care providers and their care team to identify and close gaps in diabetes management, meet glucose targets and create a more efficient cycle ...",5,36
Shot Stats,Atlanta,Instant Data Platfrom for Tennis and Beyond,"Shot Stats is a sports technology company creating groundbreaking hardware and software platforms that will revolutionize the way we learn, play and share the game of tennis. Statistics and data have always been a crucial component of sports — both the way they’re ...",7,43
Zurly,Atlanta,Make a Donation. Get Rewarded.,"With the rise of crowdfunding along with the rapid adoption of mobile deals, we have combined both in order to create the ultimate fundraising experience. With Zurly, it’s mobile deals that make a difference. Donors make a donation to a cause or group and get rewarded ...",5,30
Synapp.io,Atlanta,Helping email marketers get and stay in compliance with their Email Service Providers,Synapp.io provides deliverability solutions for businesses using email marketing by rehabilitating suspended accounts and bringing them into compliance with email service provider’s anti-spam standards.,13,85
Evgentech,Atlanta,Damage free battery fast charging,"Evgentech’s product comprises a patent pending technology that can be implemented in any Li-ion battery powered device to provide dramatically faster and less damaging charging than possible today. In particular, our technology provides complete charging conventional ...",5,33
Lucena Research,Atlanta,Quantitative analyst in a box.,"Lucena provides investors with unique tools for finding investment opportunities, and to reduce risk in their portfolio.  Our SaaS web-based interface provides access to patent-pending powerful algorithms including: Equity price prediction; Hedge finding to reduce ...",5,30
Playcoin Entertainment Corp.,Atlanta,Launching one of the 1st blockchain powered stock exchanges.,crowdfundinsider.com/2015/03/65007-the-reg-a-bombshell-50m-unaccredited-equity-crowdfunding-title-iv-takes-center-stage/ ...,9,60
ZPM Espresso,Atlanta,Bringing high-tech espresso to home baristas everywhere.,"h in independent coffee shops and small coffee roasters who pride themselves on hand-selected beans and artisanal roasts has triggered a boom in consumers who want a gourmet coffee experience. But currently, coffee enthusiasts ...",7,56
synkup,Atlanta,scheduling data to facilitate mobile commerce.,synkup uses scheduling data to facilitate mobile commerce.,6,46
SportsCrunch,Atlanta,LinkedIn for Sports.,SportsCrunch.com,3,20
PlusScrn,Atlanta,"WYSIWYG, HTML5, Rich-Media Mobile Ad Platform. Aquired by Phluant Mobile","PlusScrn is a WYSIWYG, HTML5, rich-media ad platform for mobile. The company was acquired by Phluant Mobile (http://www.phluant.com) in Dec. 2011",10,72
TOHL,Atlanta,We engineer and implement solutions to water access problems.,"We are a global water company, driven to improve the quality and quantity of water of the more than 700 million people without access to reliable water sources worldwide. We offer a variety of services ranging from water consulting and feasibility studies to the ...",9,61
Affix Music,Atlanta,Business to business iTunes,"Affix Music is a music licensing company that connects independent Urban Music
Creators (songwriters, artists, producers) with buyers in media (television, film, radio,
internet, mobile, video games, etc.).  Affix fills a specific, growing need among media buyers ...",4,27
Verdeeco,Atlanta,Energy Data Analytics & Applications Platform,"The deployment of smart devices across the nation's electric grid is generating massive new data sets that many in the utility industry have referred to as a ""data tsunami"".   Verdeeco lets utilities realize that potential; capturing, storing, and transforming ...",6,45
Springbot,Atlanta,Increase Online Revenue with Smarter Marketing,"s a Gold Industry Partner of Magento, ...",6,46
Storyful,Atlanta,The 1st news agency for the social media age,Storyful solves the biggest problem facing the news industry: how to turn social media content into trusted news. Storyful offers a fully-integrated operating system for news producers and consumers who want to discover and use the most valuable news content on ...,9,44
Partpic,Atlanta,Visual search for replacement parts,"We simplify the process of searching, identifying, and purchasing replacement parts. To start, a user simply snaps a picture of the part they are looking to replace. Using visual recognition algorithms, Partpic matches the user-generated image to a part in our ...",5,35
Monsieur,Atlanta,Artificially Intelligent Robotic Bartender,"ur, venue owners now have a robotic workforce ...",4,42
Zamp,Atlanta,Connecting Travelers with the world around them in real-time,"an also share and receive tips and receive expert curated tips frequent travelers, and give service providers immediate, valuable ...",9,60
Soccermetrics Research,Atlanta,Enabling soccer's Moneyball revolution,Soccermetrics provides the soccer industry with tools and platforms to allow front-office and coaching personnel to make data-informed decisions from match and fitness data.,4,38
Clinigence,Atlanta,Clinical Business Intelligence,The race towards accountable care is on. Healthcare providers who get there first will be the winners of healthcare transformation. Those falling behind risk losing their business. The Clinigence collaborative clinical business and process intelligence SaaS platform ...,3,30
Calendly,Atlanta,"Simple, beautiful scheduling","endly, it can take up to 7 emails over 2-3 days for ...",3,28
Digital Assent,Atlanta,Helping hospitals improve patient satisfaction and grow their online reputation.,Digital Assent is a healthcare technology company that helps doctors and hospitals improve patient satisfaction and grow their online reputation. The company’s award-winning PatientPad® technology is transforming the patient experience at doctor’s offices throughout ...,10,80
N4MD,Atlanta,"Gracefully gather, filter and share the best content on the web.",rs use the Interest Server (I/S) for ...,11,64
HUGECITY,Atlanta,Redefining event discovery,s solved these problems by using the biggest ...,3,26
Fold,Atlanta,Spend bitcoin in the real world.,he market with ...,6,32
Cooleaf,Atlanta,Employee engagement software for awesome workplaces.,Cooleaf powers top workplaces with a technology platform (web & mobile) that enables employees to initiate and join activities around like-minded interests and passions inside and outside of the workplace.,6,52
Gotcha Ride,Atlanta,"On-Campus, Collegiate Advertising, 100% Electric Proprietary Vehicles","Gotcha Ride is the first eco-friendly, collegiate transportation & marketing platform that is disrupting the on-campus advertising space by providing a much needed, free service to the 18-34 demographic.  Gotcha Ride gives brands the opportunity to truly engage ...",7,69
Competitive Sports Analysis,Atlanta,"CSA provides highly accurate, predictive data for sports","The scoutPRO®'s patented software technology incorporates objective (statistical) data and subjective (expert analysis) to provide a skill rating for each player.  Ratings incorporate factors including the opponent, weather, and injuries.  Essentially, scoutPRO ...",8,56
Voxa,Atlanta,"Go faster, smarter. Get messaging intelligence.","Voxa is a messaging intelligence platform that accelerates response time and unleashes the power of business email. Go faster, smarter. More at http://voxa.com",6,47
Iterative,Atlanta,Making Money in 21st century Brick and Mortar Stores,"etail analytics companies provide dashboards with information about what happened, we provide the store manager with actions to control what will happen. We get the full picture from all the data out there ...",9,52
Off-Market RADAR,Atlanta,"LinkedIn, Jigsaw and eBay on a foundation of CRE","Off-Market RADAR is LinkedIn, Jigsaw and eBay with a CRE foundation.  We built Off-Market RADAR to give principals direct access to the information they desperately want but and took them 2 hours to find, but now it takes 2 minutes.  Before Off-Market RADAR, we ...",9,48
PoliticalTracker.com,Atlanta,Accountability For All,"Political Tracker targets “Accountability For All” by providing a space that balances free access to relevant, reliable, unbiased political information with features geared towards creating interactive user participation and social, educational and entertaining ...",3,22
ThundrLizard,Atlanta,google alerts for cold leads,"The fastest, smartest way to go from cold lead to qualified prospect.  ThundrLizard provides sales people having to work with cold leads a web-based call down list that uses real-time intelligence to speed time from cold lead to qualified prospect for $49 per user. ...",5,28
Mr. Arlo,Atlanta,A new way to plan and book travel online.,"Mr. Arlo is the best way to discover, collect and organize travel plans that fit your personality and budget. Using beautiful photos, sophisticated technology and intelligent recommendations, Mr. Arlo simplifies discovery, planning, collection and collaboration ...",9,41
Regator,Atlanta,Real-Time Semantic API & Curated Content Aggregation,"s is built upon a real-time semantic API, which uses a unique combination of linguistics and algorithms ...",7,52
TrypleD,Atlanta,Travel Deal Syndication Network,TrypleD powers the largest discount deal travel network in the US.  We acquire deeply discounted travel deals to push to our network of over 800 websites. In all we have access to over 10 million email subscribers & 30% of the discount deal market.,4,31
5 O'Clock Brewing Company,Atlanta,Where All Day Long It Is 5 O'Clock!!!,"5 O’clock Brewing Co. will be a locally owned corporation whose principle partners has over 50 years combined experience within the hospitality and craft brewing fields. With the use of the revolutionary Jobs Act and the local Invest Georgia Exemption, we have ...",8,37
PeachDish,Atlanta,Fresh Dinner Ingredient Box Subscription (with Amazon Technology),"PeachDish is an Atlanta based ecommerce startup focusing on the delivery of fresh ingredients and instructions to consumer’s homes so they can cook wholesome dinners with ease. A PeachDish box contains all of the fresh, preportioned ingredients and accompanying ...",8,65
Frozen Pints Ice Cream,Atlanta,Alcoholic Ice Cream,"Frozen Pints has created a new category at retail: alcoholic ice cream. The combination has a growing presence at restaurants, at scoop shops, and in home recipes, but no-one has captured the space in the retail market.  We launched at retail in July, 2012, with ...",3,19
Kanga,Atlanta,Everything from A to Z and picked up from A and delivered to B.,"Kanga is a revolutionary new method for shipping and moving things around town. The solution is simple: We connect people who needs things delivered, shipped, or moved with people who want to earn money by helping people get things moving.

Kanga can get that ...",14,63
Artmatch Me,Atlanta,Connecting the World With Art,"Artmatch Me is a social commerce platform designed to connect artists and collectors.  Through our subscription-based membership we provide a curated, educational, social environment in which to help market artists, educate the masses about art and make art more ...",5,29
LoopFuse,Atlanta,SaaS marketing automation for SMBs,"ce, you’ll see more qualified leads, shortened ...",5,34
PcTechmate,Atlanta,Automated Computer Technician,repairs what is compromised on computers when a virus bypasses the installed antivirus software. Pctechmate ...,3,29
"CoinX, Inc.",Atlanta,Virtual Currency Exchange,"CoinX is a US-based platform which facilitates the purchase, sale, and trading of virtual currencies.  CoinX features enterprise-level security, user interface, and compliance for a seamless trading experience.",3,25
HIT Consultant Media,Atlanta,Insightful digital media coverage of healthcare technology,"a combination of content from our talented editorial team, quality content curation ...",7,58
Pretty in My Pocket,Atlanta,Mobile tech that drives retail sales,"PRIMP's technology (1) gives the brands valuable product insight they have never been able to obtain, allowing them to learn, faster than ever, what the consumers want; (2) provides retailers with instantaneous marketing and promotion capabilities to help them ...",6,36
Brilliance Labs,Atlanta,Business framework for successful startups,"ubators but we are NOT one.  We innovate, invest, 
and support our start up founders, investor ...",5,42
LendLift,Atlanta,Marketplace Lending,"LendLift is an online lending marketplace that connects responsible non-prime credit card borrowers with accredited investors who can lend to them at lower interest rates, giving underserved borrowers the ability to pay down their principal and eliminate their ...",2,19
Uruut,Atlanta,Advanced Online Fundraising for Nonprofits,the art technology ...,5,42
AdProof,Atlanta,User Testing for Google AdWords,s served Fortune 500 companies for the past ten years as a Global eCommerce and Digital Marketing Executive. He has launched multi-million ...,5,31
GoRankem,Atlanta,cliffsnotes for the catalogs,each artist better than their own fans? That's why we make it easy for the fans ...,4,28
PrepSportsNet,Atlanta,"Official network HS sites,  content by students,  revenue shared with school, free to HS","Allows any HS, for free, to create their own free sports/extracurricular site where all content is created by students.Each school shares in gross revenue generated from ads, sponsorships, e-commerce, content syndication et al, to help fund programs at each school. ...",14,88
So.Tech Leaders,Atlanta,"Connecting Tech Leaders, Innovators & Investors","Created with the over-arching goal to showcase the South’s vibrant technology sector, connect its people, and deliver the resources necessary to establish the South as the leader in technology innovation and growth in the U.S.",6,47
NicheTrainings,Atlanta,Speeding Up Your Learning Curve,NicheTrainings provides an easy to use eLearning platform that enables anyone to share their skills by uploading their content in a few easy steps. NicheTrainings does not charge authors a hosting fee. The author can make his/her course freely available or for ...,5,31
Sensiotec,Atlanta,Star Trek Tricorder-style Noncontact Cardiorespiratory Monitoring System,"The Virtual Medical Assistant® is a truly remote, totally noncontact, wireless, continuous cardiorespiratory monitor. It measures heart and respiration rates and movement, providing critical “spot” and “trend” data to a nurse’s station, tablet, cell phone or pager ...",7,72
Qnova Health,Atlanta,New payer model  in the US Healthcare System,"Qnova sells access passes or Q-passes to the US health system. Subscribers are persons that are currently uninsured, under insured, or are paying cash out of pocket toward high deductible health plans. Q-passes help our users get the healthcare they need without ...",8,44
Sub-Micro,Atlanta,Novel Targeted Cancer Therapy,"The morbidity of most cancers is related to the metastatic dissemination of cells sloughing off the primary tumor.  Sub-Micro is developing a novel therapeutic device to aid in the removal of residual tumor cells, which will limit metastatic spread and significantly ...",4,29
SonarContacts,Atlanta,Foursquare for the business professional,Meeting your virtual connections and contacts in the real world.,5,40
Egos Ventures,Atlanta,Computer Vision Innovation Lab,Cycloramic ...,4,30
cMEcompete,Atlanta,"Gamification Platform for Community Fitness Events (Meetup, Active.com, gamification)","cMEcompete®, is a technology platform that employs gamification to elevate a participants experience with fitness challenges and events where individuals and families discover LIKE-MINDED communities, such as running, cycling and triathlons, where they can enroll, ...",9,85
Dunvegan Space Systems,Atlanta,"Physical, virtual & financial space infrastructure enabling space settlement.","turnkey satellite, satellite constellation and space drone packages -- spacecraft, launch, ...",9,77
Zobee,Atlanta,Game Changing Fantasy Sports,"ch launched in July 2014, carving out a niche in the ...",4,28
Bastille Networks,Atlanta,Security for the Internet of Things,"Bastille Networks is pioneering Internet of Things security with safe and socially responsibly radio frequency (RF) emission detection, allowing corporations to accurately quantify risk and mitigate 21st century airborne threats.",6,35
FLIPSFilm,Atlanta,Easy Film Permitting,"p shop SAAS eliminates errors while making community event planning easier, ...",3,20
Techturized,Atlanta,Beauty tech startup creating a mobile application for hair care,"Techturized, Inc. is a beauty technology startup creating innovative solutions to solve the hair needs of women of color. Our first product is Myavana, a mobile app where consumers share hairstyle tips and techniques through photo sharing. We connect the consumer ...",10,63
CourseShark,Atlanta,Scheduling and jobs for students,CourseShark helps students register for classes and organize their schedules while allowing employers to find top university talent.,5,32
StatMilk (Acquired by Bleacher Report),Atlanta,Sports Analytics For Fans,"StatMilk is a sports technology, content and analytics company that delivers a powerful and engaging way for fans to interact with sports statistics. The company’s core platform combines easy-to-use data discovery tools with compelling visualizations to deliver ...",4,25
Metago - ASTRO File Manager,Atlanta,Global Content Management & Federated Search,"ASTRO File Manager is Android's #1 global content and file management solution with over 100 Million installs worldwide in over 100 countries. ASTRO helps users find, connect to and organize their pictures, documents, music and videos regardless of where the content ...",6,44
Volantio,Atlanta,Intelligently connecting travel supply and demand,"in two ways.  First, we have built a proprietary platform that dynamically matches explicit customer intent ...",6,49
BitByCoin,Atlanta,Marketplace For Cryptocoins,"Buying and selling is really what a currency needs, not for people to sit on it. Introducing BitByCoin. BitByCoin lets Cryptocoins users buy & sell directly to their audience. You'll see writers, designers, game developers, musicians, artists, fashion, electronics ...",3,27
Pickoff Sports,Atlanta,Social games for sports fans.,am that brought you ...,5,29
Rately,Atlanta,Google Now for Retailers,"merchants use a shopper-managed profile for personalization and in-browser notifications to drive engagement, loyalty, and sales",4,24
Predikto,Atlanta,We predict equipment failures for asset intensive industries,Predikto solutions harness the power of Predictive Analytics to address operations challenges in asset intensive industries like Manufacturing and Railroads.,8,60
MetroTech Net,Atlanta,The next generation of traffic data,"MetroTech aggregates real-time traffic data from any video stream, applies analytics, and publishes actionable information. Delivered from the cloud, traffic Big Data is analyzed & published via API’s to mobile or web applications & Connected Cars, & to multiple ...",6,35
Niche Video Media,Atlanta,Secure YouTube for the enterprise,"The Private Media Channel by Niche Video Media, LLC, provides a secure lowcost cloud-based digital asset management platform and content delivery network serving multi-media files to any device, anywhere, anytime.
What is a Private Media Channel?
The customer has ...",5,33
Engiver,Atlanta,"""Kickstarter for People in Need""","a charitable giving platform that identifies and promotes ""appeals"" for individuals with a life enhancement opportunity but financial need to access the opportunity. ...",5,32
i-nexus,Atlanta,Business Execution Software as a Service,"ecution software helps large organisations align, execute and track the many hundreds, if not thousands, of initiatives that collectively realise ...",6,40
LaunchTable,Atlanta,Collaboration Network for Entrepreneurs,"LaunchTable is a social network for creative collaboration and team building. The principal offering is a dedicated team workspace called Group Tables, which allows members to collaborate with each other privately using group chat, file sharing, and cloud storage ...",4,39
Automotive Ventures,Atlanta,Instilling trust and confidence in the car shopping/buying process.,f these tools is available at www.CarLingo.com.,9,67
SnapHop,Atlanta,"Mobile, Social & Digital Recruitment Done Right","Touch/mobile devices are becoming a way of life, yet most companies fail to allow people to search, share and apply for jobs using these devices. RecruitingHop (by SnapHop) is a recruitment marketing platform designed specifically for touch/mobile devices, empowering ...",7,47
Pipefish,Atlanta,Taste based social network,ey by helping e-commerce sites that you visit make better product recommendations to you. But ...,4,26
Founder Fables,Atlanta,A conference of off-the-record founder talks.,We're a new one day conference whose entire programming is off-the-record and not-for-attribution.  The day consists of 10 thirty minute talks from founders and co-founders.  Attendees must be founders or co-founders themselves or sponsors.  No one else is allowed ...,6,45
YellowBird,Atlanta,Gamifying stock market education.,YellowBird is a mobile-first platform. Our solution is to target our market while they are on the go. No longer will users be chained to a desktop or a seminar in order to learn about investing. YellowBird is built around merging fantasy sports with a stock simulator. ...,4,33
ISO for MyMe Social Game Venture,Atlanta,Keep your achievements across a series of social games,"""MyMe"" - A social game system that works with Facebook, Android, iPhone & others. Has the ability to carry all the players attributes to different games & platforms. In other words, your game character can travel to different games & keep all its account information ...",9,54
Pliant Labs,Atlanta,"We enable businesses to create, publish & use APIs to sell more of everything, anywhere.","h stands for Application Programming Interface, is a way to let businesses sell their products outside ...",15,88
Home Elephant,Atlanta,Neighborhood Social Network,"Home Elephant is a niche social media platform for neighborhoods, developed for iPhone, Android, and web. With Home Elephant, neighbors can meet each other and nearby non-neighbors, share alerts, chats, and events for free. Signup takes less than 60 seconds. Users ...",3,27
Lumenetec,Atlanta,Scientific Software and Analytics,re based on the technology foundation for missile defense systems ...,4,33
FactPipe,Atlanta,FICO score for online Credibility,Have you ever wondered how credible/reliable content online is? FactPipe will allow users to vote on credibility of all content on the web. Every piece of content and individual who is rated (ie blooger) and rates (the user) credibility will have a score. FactPipe ...,5,33
HealthDetail,Atlanta,Helping to move healthcare into the cloud!,...,7,42
CheckAction,Atlanta,A Smarter Way To Work,an methodologies that bring complete ...,5,21
Rivalry,Atlanta,Sales coaching platform,"we believe selling is still about people. Hard work, relationship building, problem solving, consultative selling, the drive to do and be move. ...",3,23
Nanofiber Veterinary,Atlanta,Synthetic nanofiber tissue for the veterinary market,tis impacts over 27 million people in just ...,7,52
N8tion,Atlanta,Exposing emerging artist through inception to a willing community with entertaining media,Getting exposure and building traction sucks for an emerging artist. This is where N8tion.com comes in. N8tion provides a way for artist to get their music exposed to a listening community through content we create for our internet television and radio network. ...,12,89
Plisten,Atlanta,Plisten aggregates content from the brands you love.,"ps consumers: 
- Keep up with news, product releases, and photos from ...",8,52
Tidbit.co,Atlanta,Smarter File Gathering & Sharing,"s, legal firms and freelancers spend a significant amount of their day gathering and sharing client documents with various stakeholders. Furthermore, the process is made worse by cloud storage ...",5,32
"AppsNmotion, Inc.",Atlanta,"Creator of blinQlinQ™, a mobile interactive Customer Experience Management (iCXM) platform",How do you arm your employees on the ground and in the corporate offices with the necessary Voice of the Customer (VOC) information to drive a continuous and consistent customer engagement experience in a world that is becoming ever more connected through computing ...,11,90
Unmanned United,Atlanta,UAV Support You Deserve,One of our many expertise is with the Ardupilot flight control system. We plan to provide full support for the system as well as ground station monitoring systems. Our company is a huge fan of the Ardupilot and have been using the hardware and software since version ...,4,23
SafelyStay,Atlanta,Trusted vacation home rentals,"SafelyStay creates instant worry free vacation home rentals.  All guests, hosts and properties are pre-screened, deposit and reservation down payments are escrowed and all rental participants are covered by our industry leading damage and liability insurance.  We ...",4,29
Mahala,Atlanta,Mobile Payments Anywhere... we mean ANYWHERE.,"’s secure mobile payments app, Merchants, Content Producers and Nonprofits can finally accept money anywhere- without additional hardware or being charged fees.
﻿
Consumers simply scan Mahala’s secure ...",6,45
Borrowed By Design,Atlanta,Closet to Closet Rental for Formal Dresses,"We are building an online community for women to rent their formal and semi-formal wear to each other. There will be an extensive search capability to find products not only based on the product attributes, but also on calendar availability, body shape and review ...",7,42
Write2Market,Atlanta,Building valuation through getting tech companies the reputations they deserve.,We create industry leading reputations for fast scaling companies. See a QUICK overview of our Triple A Industry Leadership in action: http://video.write2market.com/medias/709dhodz8s,10,79
SwipeLoyalty,Atlanta,Loyalty Evolved,g free advertising and offer placements to merchants we collect relevant rewards that we use to incentivize consumers to switch their ...,2,15
Donor League,Atlanta,Viral Fundraising Services for Non-Profits through Sports,"We provide cause marketing/ fundraising services via our Global-Giving website which allows Charities to create an online profile around their missions and community initiatives- to raise awareness and increase donations 
Donor League is a concept/ service that ...",7,57
Simmer,Atlanta,Easing conflicts at home,...,4,24
PayApp,Atlanta,A complete Cloud Commerce Platform,"rs multiple channels for consumers and merchants, retailers, developer to do commerce ...",5,34
"FIXD Automotive, Inc.",Atlanta,Active Vehicle Health Monitor,ctive vehicle health monitoring ...,4,29
A Deeper View,Atlanta,Data Tracking from video or observation,The A Deeper View Tracking System is a tool that enables quantifiable data to be collected and reported on by a collaboration of educators or coaches.  Our tool is a secure user name and password protected site that enables the capture of consistent reinforcement ...,6,39
TwitChat,Atlanta,Private and Group Messaging for Twitter,"everything you love about Twitter and everything you need from an instant messaging app.  Start by adding Twitter followers to your TwitChat friends list.  Instantly send text, pictures and emoticons.  You can privately message ...",6,39
Products for Robots,Atlanta,Dream. Create. Escape,"We make games, cartoons and comics about our own original intellectual property. Our flagship project is Metacell, it's a sci-fi thriller, imagine Frankenstein meets Aliens in an alternate dimension that's illustrated by Disney and written by Isaac Asimov.",3,21
Loclly,Atlanta,The New Way To Shop,Online storefront for local med spas and their affluent customers.,5,19
MEMI,Atlanta,Wearable Technology Made by Women for Women,"MEMI creates wearable technology for women by women. The first product is a fashionable, iPhone-compatible smartbracelet that notifies the user when she receives important phone calls, texts and calendar alerts.  The woman controls which contacts vibrate her bracelet ...",7,43
Innovare Solutions,Atlanta,Holographic Display for Everyone,INNOVARE HOLODECK allows a virtual holographic display of any computer generated image.  These images can be simple flat images or videos to complex 3D animations.,4,32
Lightshed Healthcare Technologies,Atlanta,A fastpass for healthcare,"Lightshed develops and markets patient engagement solutions around the experience of waiting for care. Waiting for care is the top patient satisfaction issue for providers of care, and patient satisfaction is more important than ever in today's value-based healthcare ...",4,25
The Angel Advisors,Atlanta,Board Level Advisory to Entepreneurs and Angel Investors,evel Advisory to Entepreneurs and Angel Investors,8,56
Dragon Army,Atlanta,Mobile gaming studio,"Dragon Army is a mobile gaming studio based out of the Atlanta Tech Village in Buckhead, Atlanta. The company focuses on creating mobile experiences direct for consumers (B2C). iOS, Android. Phones and tablets.",3,20
dNBe Apparel,Atlanta,Socially conscious t-shirt line (E-commerce),"We are an online t-shirt retailer focusing on t-shirts with positive/empowering messages, primarily targeting the streetwear and urban markets.  Our name comes from the fact that several Civil Rights leaders in the past, such as A. Philip Randolph and Martin Luther ...",5,44
QuietNITE,Atlanta,Sleep Apnea Mandibular Repositioning Device,"The QuietNITE is a dentist-prescribed, FDA approved, Mandibular Repositioning Device sold in the rapidly growing Sleep Apnea market.  It's intended for treatment of mild to moderate Obstructive Sleep Apnea.  Our customer is a Dentist, a Dental Laboratory, or ...",5,43
Knotacle,Atlanta,Experience Better Nightlife,Knotacle will change the way nightlife happens. We are an application that promotes bars and nightclubs as well as gives the users an incentive to frequent the venues that we promote. Because Knotacle will be using a unique set of features in both the website and ...,3,27
College Roar,Atlanta,Collaborative College Social Site,"CollegeRoar.com is a college collaboration social media site. Enabling users to productively work at college, and still support their college social life. Through basing users upon sub-networks we can display exclusive update streams about what goes on at a particular ...",4,33
An Avenue Apart,Atlanta,Direct from International Boutiques to your Doorstep,"An Avenue Apart is a global Ecommerce platform for international boutiques, working to reach online customers through personal and interactive means. We focus on providing handmade products made by the boutiques themselves. By removing all logistical complications ...",7,52
OfficeHours,Atlanta,Uber for online teaching assistants,"OfficeHours is building the largest online community of teaching assistants ever assembled.  We connect online learners with knowledgeable, course-specific TAs in real time, 24/7/365.  Our learning platform is elegant, intuitive, clean.  Video, voice, chat, shared ...",5,35
500NearMe,Atlanta,500 calories near me = Foursquare for weight loss,"500NearMe is short for 500 Calories Near Me. It finds 500 Calorie options from foods available around you. You can search by different calorie levels, carbs and weight watcher points from restaurant menus, grocery stores and recipe books to create a diet that is ...",9,49
Crescerance,Atlanta,Thought leader in all education related technology,"n is a program that brings Mobile Application Development into the classroom for students to learn programming at a very young age. MAD-learn is a rich, end-to-end ...",7,50
