Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Acquisition_Cost_Num,Duration_Days,Month,Quarter,CTR
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,"$17,189.00",4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13,17189.0,60.0,1,1,7.6783
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,"$9,975.00",7.06,New York,German,994,2201,4,Health & Wellness,2021-01-14,9975.0,45.0,1,1,45.1613
15,TechCorp,Display,All Ages,45 days,Website,0.04,"$11,346.00",5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,2021-01-15,11346.0,45.0,1,1,5.6907
16,Innovate Industries,Social Media,Women 35-44,60 days,Youtube,0.11,"$9,407.00",2.91,New York,German,299,1512,5,Health & Wellness,2021-01-16,9407.0,60.0,1,1,19.7751
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,"$5,478.00",4.53,Houston,English,931,2488,3,Fashionistas,2021-01-17,5478.0,45.0,1,1,37.4196
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,"$9,485.00",4.48,Miami,French,218,9264,9,Health & Wellness,2021-01-18,9485.0,15.0,1,1,2.3532
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,"$19,224.00",6.08,New York,French,182,5798,1,Foodies,2021-01-19,19224.0,60.0,1,1,3.139
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,"$10,258.00",3.83,Miami,French,193,3677,1,Tech Enthusiasts,2021-01-20,10258.0,15.0,1,1,5.2488
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,"$16,580.00",7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,2021-01-21,16580.0,15.0,1,1,62.46
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,"$12,824.00",6.21,New York,French,319,8586,2,Foodies,2021-01-22,12824.0,30.0,1,1,3.7154
23,NexGen Systems,Social Media,Women 35-44,15 days,Youtube,0.13,"$8,699.00",2.12,Miami,French,646,3841,5,Health & Wellness,2021-01-23,8699.0,15.0,1,1,16.8185
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,"$17,608.00",7.31,Miami,Spanish,764,2157,8,Health & Wellness,2021-01-24,17608.0,15.0,1,1,35.4196
25,NexGen Systems,Social Media,Men 18-24,60 days,Youtube,0.07,"$8,773.00",6.03,Miami,Mandarin,527,1733,1,Fashionistas,2021-01-25,8773.0,60.0,1,1,30.4097
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,"$14,756.00",6.23,Houston,English,809,8236,10,Health & Wellness,2021-01-26,14756.0,45.0,1,1,9.8227
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,"$9,182.00",6.03,Houston,English,953,6916,5,Fashionistas,2021-01-27,9182.0,45.0,1,1,13.7796
28,TechCorp,Email,Men 25-34,30 days,Youtube,0.07,"$6,601.00",3.29,New York,Spanish,604,2420,3,Foodies,2021-01-28,6601.0,30.0,1,1,24.9587
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,"$11,552.00",7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,2021-01-29,11552.0,60.0,1,1,5.0394
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,"$11,608.00",3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,2021-01-30,11608.0,30.0,1,1,23.4772
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,"$13,124.00",2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,2021-01-31,13124.0,45.0,1,1,10.5851
32,NexGen Systems,Influencer,All Ages,45 days,Youtube,0.07,"$13,245.00",6.83,New York,English,309,2885,7,Foodies,2021-02-01,13245.0,45.0,2,1,10.7106
33,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,"$5,796.00",4.42,New York,Spanish,367,3218,9,Foodies,2021-02-02,5796.0,45.0,2,1,11.4046
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,"$15,082.00",2.71,Los Angeles,German,243,5724,4,Health & Wellness,2021-02-03,15082.0,45.0,2,1,4.2453
35,NexGen Systems,Influencer,Men 18-24,30 days,Youtube,0.07,"$18,332.00",7.81,Houston,Spanish,360,5349,6,Fashionistas,2021-02-04,18332.0,30.0,2,1,6.7302
36,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,"$13,256.00",2.51,Miami,German,250,7373,3,Health & Wellness,2021-02-05,13256.0,60.0,2,1,3.3908
37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,"$15,779.00",7.24,New York,Spanish,822,7152,1,Foodies,2021-02-06,15779.0,45.0,2,1,11.4933
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,"$7,683.00",2.62,Houston,French,833,9772,8,Tech Enthusiasts,2021-02-07,7683.0,60.0,2,1,8.5244
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,"$14,742.00",2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,2021-02-08,14742.0,30.0,2,1,6.9988
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,"$15,495.00",6.97,Chicago,German,268,5495,6,Fashionistas,2021-02-09,15495.0,45.0,2,1,4.8772
41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,"$18,684.00",4.57,New York,French,212,4718,4,Foodies,2021-02-10,18684.0,30.0,2,1,4.4934
42,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,"$13,096.00",3.44,Los Angeles,French,360,2776,1,Foodies,2021-02-11,13096.0,45.0,2,1,12.9683
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,"$7,818.00",5.6,Houston,French,598,8637,5,Fashionistas,2021-02-12,7818.0,60.0,2,1,6.9237
44,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,"$8,214.00",4.77,Chicago,English,988,1612,5,Fashionistas,2021-02-13,8214.0,30.0,2,1,61.2903
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,"$6,882.00",3.31,Miami,English,282,8038,7,Tech Enthusiasts,2021-02-14,6882.0,45.0,2,1,3.5083
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,"$13,470.00",6.8,Miami,English,992,8036,8,Health & Wellness,2021-02-15,13470.0,60.0,2,1,12.3444
47,DataTech Solutions,Search,Men 25-34,60 days,Youtube,0.06,"$14,948.00",7.4,New York,French,903,3940,3,Foodies,2021-02-16,14948.0,60.0,2,1,22.9188
48,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,0.04,"$15,255.00",3.8,Chicago,French,629,1824,3,Health & Wellness,2021-02-17,15255.0,60.0,2,1,34.4846
49,TechCorp,Display,All Ages,60 days,Facebook,0.1,"$9,510.00",5.25,Houston,French,190,2071,4,Tech Enthusiasts,2021-02-18,9510.0,60.0,2,1,9.1743
50,TechCorp,Social Media,Women 25-34,45 days,Email,0.11,"$7,521.00",3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,2021-02-19,7521.0,45.0,2,1,2.0333
51,NexGen Systems,Search,Men 25-34,60 days,Facebook,0.12,"$10,405.00",5.79,Los Angeles,French,134,8463,9,Foodies,2021-02-20,10405.0,60.0,2,1,1.5834
52,NexGen Systems,Search,Men 25-34,15 days,Website,0.1,"$15,955.00",6.48,Houston,French,657,9831,7,Foodies,2021-02-21,15955.0,15.0,2,1,6.6829
53,TechCorp,Email,Men 18-24,30 days,Facebook,0.13,"$15,428.00",7.62,Houston,French,385,4937,6,Tech Enthusiasts,2021-02-22,15428.0,30.0,2,1,7.7983
54,NexGen Systems,Display,Women 35-44,45 days,Youtube,0.02,"$19,832.00",3.35,New York,English,537,4739,9,Outdoor Adventurers,2021-02-23,19832.0,45.0,2,1,11.3315
55,NexGen Systems,Social Media,Men 18-24,30 days,Youtube,0.05,"$17,375.00",6.15,Miami,Spanish,450,6012,7,Foodies,2021-02-24,17375.0,30.0,2,1,7.485
56,NexGen Systems,Display,Men 25-34,15 days,Website,0.13,"$8,903.00",3.7,Miami,English,178,8529,9,Health & Wellness,2021-02-25,8903.0,15.0,2,1,2.087
57,NexGen Systems,Email,Women 35-44,15 days,Website,0.04,"$14,511.00",6.66,Chicago,English,164,2122,8,Foodies,2021-02-26,14511.0,15.0,2,1,7.7286
58,Innovate Industries,Email,Men 18-24,60 days,Email,0.06,"$17,305.00",2.7,New York,French,569,1850,2,Fashionistas,2021-02-27,17305.0,60.0,2,1,30.7568
59,Alpha Innovations,Email,Women 25-34,45 days,Email,0.04,"$18,063.00",4.93,Chicago,English,330,6920,6,Foodies,2021-02-28,18063.0,45.0,2,1,4.7688
60,Innovate Industries,Display,Men 25-34,15 days,Email,0.05,"$10,293.00",6.8,Miami,French,256,3421,9,Health & Wellness,2021-03-01,10293.0,15.0,3,1,7.4832
61,DataTech Solutions,Email,Men 25-34,45 days,Email,0.05,"$8,785.00",2.27,New York,German,849,9217,5,Fashionistas,2021-03-02,8785.0,45.0,3,1,9.2112
62,TechCorp,Email,Men 25-34,30 days,Email,0.09,"$13,848.00",5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,2021-03-03,13848.0,30.0,3,1,13.3299
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.01,"$14,435.00",7.04,Houston,Mandarin,592,3596,4,Foodies,2021-03-04,14435.0,60.0,3,1,16.4627
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.02,"$14,001.00",3.71,Chicago,English,201,8702,10,Outdoor Adventurers,2021-03-05,14001.0,30.0,3,1,2.3098
65,DataTech Solutions,Display,All Ages,45 days,Website,0.11,"$8,841.00",7.43,Houston,French,648,9122,9,Fashionistas,2021-03-06,8841.0,45.0,3,1,7.1037
66,NexGen Systems,Search,All Ages,60 days,Youtube,0.04,"$11,366.00",7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,2021-03-07,11366.0,60.0,3,1,3.7044
67,Alpha Innovations,Display,Women 25-34,30 days,Youtube,0.07,"$12,910.00",6.33,Miami,Spanish,839,5569,7,Foodies,2021-03-08,12910.0,30.0,3,1,15.0655
68,TechCorp,Search,Women 25-34,60 days,Youtube,0.12,"$7,823.00",2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,2021-03-09,7823.0,60.0,3,1,9.5541
69,TechCorp,Display,All Ages,15 days,Facebook,0.03,"$11,864.00",7.98,Chicago,French,932,9973,9,Tech Enthusiasts,2021-03-10,11864.0,15.0,3,1,9.3452
70,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,"$17,414.00",4.74,Los Angeles,German,694,2836,2,Foodies,2021-03-11,17414.0,15.0,3,1,24.4711
71,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,"$18,201.00",5.58,New York,German,202,6745,8,Tech Enthusiasts,2021-03-12,18201.0,30.0,3,1,2.9948
72,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,"$9,549.00",5.61,Chicago,French,416,9187,7,Health & Wellness,2021-03-13,9549.0,15.0,3,1,4.5281
73,TechCorp,Social Media,Women 35-44,15 days,Youtube,0.13,"$16,635.00",7.46,Miami,English,576,9999,10,Health & Wellness,2021-03-14,16635.0,15.0,3,1,5.7606
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,"$9,310.00",5.63,New York,German,300,3687,9,Foodies,2021-03-15,9310.0,45.0,3,1,8.1367
75,NexGen Systems,Display,All Ages,15 days,Youtube,0.11,"$5,158.00",6.67,Chicago,German,776,4238,3,Health & Wellness,2021-03-16,5158.0,15.0,3,1,18.3105
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.04,"$15,182.00",2.03,Houston,English,492,7364,2,Fashionistas,2021-03-17,15182.0,30.0,3,1,6.6812
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,0.08,"$5,703.00",3.23,Chicago,German,763,8501,10,Foodies,2021-03-18,5703.0,45.0,3,1,8.9754
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,"$12,008.00",4.82,Miami,Spanish,817,7892,2,Health & Wellness,2021-03-19,12008.0,60.0,3,1,10.3523
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,0.13,"$15,850.00",7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,2021-03-20,15850.0,45.0,3,1,22.0089
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.1,"$9,813.00",6.57,Miami,French,737,9941,6,Fashionistas,2021-03-21,9813.0,30.0,3,1,7.4137
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,0.14,"$19,300.00",7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,2021-03-22,19300.0,60.0,3,1,4.3645
82,NexGen Systems,Social Media,Women 25-34,45 days,Youtube,0.12,"$17,772.00",6.33,New York,English,913,1921,5,Foodies,2021-03-23,17772.0,45.0,3,1,47.5273
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,0.1,"$17,293.00",3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,2021-03-24,17293.0,60.0,3,1,2.6536
84,NexGen Systems,Search,All Ages,60 days,Youtube,0.08,"$8,398.00",3.99,Miami,English,134,3108,1,Health & Wellness,2021-03-25,8398.0,60.0,3,1,4.3115
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,0.15,"$15,866.00",2.3,Houston,French,159,2139,10,Health & Wellness,2021-03-26,15866.0,60.0,3,1,7.4334
86,TechCorp,Social Media,All Ages,30 days,Youtube,0.13,"$7,515.00",7.38,Houston,Mandarin,635,8489,3,Foodies,2021-03-27,7515.0,30.0,3,1,7.4803
87,DataTech Solutions,Email,Women 25-34,15 days,Youtube,0.15,"$19,026.00",2.22,Miami,Mandarin,187,2573,10,Fashionistas,2021-03-28,19026.0,15.0,3,1,7.2678
88,TechCorp,Search,Men 18-24,60 days,Facebook,0.14,"$8,280.00",7.89,New York,German,537,3042,1,Outdoor Adventurers,2021-03-29,8280.0,60.0,3,1,17.6529
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.1,"$18,251.00",4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,2021-03-30,18251.0,30.0,3,1,7.3549
90,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,"$13,108.00",2.01,Houston,German,550,3839,7,Tech Enthusiasts,2021-03-31,13108.0,15.0,3,1,14.3266
91,NexGen Systems,Influencer,Women 35-44,15 days,Youtube,0.09,"$15,477.00",6.98,Houston,English,956,9087,3,Foodies,2021-04-01,15477.0,15.0,4,2,10.5205
92,TechCorp,Email,Men 25-34,45 days,Email,0.09,"$17,705.00",7.0,New York,Spanish,628,9545,4,Outdoor Adventurers,2021-04-02,17705.0,45.0,4,2,6.5794
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.05,"$18,470.00",2.57,Chicago,English,938,7879,10,Fashionistas,2021-04-03,18470.0,15.0,4,2,11.9051
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,0.01,"$14,438.00",7.19,New York,French,147,6497,10,Health & Wellness,2021-04-04,14438.0,45.0,4,2,2.2626
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,0.08,"$6,278.00",4.93,Miami,German,776,4289,8,Foodies,2021-04-05,6278.0,45.0,4,2,18.0928
96,TechCorp,Social Media,All Ages,15 days,Email,0.08,"$5,185.00",4.61,New York,French,108,9532,1,Tech Enthusiasts,2021-04-06,5185.0,15.0,4,2,1.133
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.14,"$18,799.00",3.69,Miami,French,395,6079,8,Health & Wellness,2021-04-07,18799.0,15.0,4,2,6.4978
98,Alpha Innovations,Search,All Ages,60 days,Facebook,0.04,"$7,365.00",7.96,New York,French,419,4484,1,Fashionistas,2021-04-08,7365.0,60.0,4,2,9.3443
99,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,"$6,565.00",3.12,New York,French,463,6061,8,Foodies,2021-04-09,6565.0,60.0,4,2,7.639
100,TechCorp,Display,All Ages,60 days,Facebook,0.09,"$9,022.00",5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,2021-04-10,9022.0,60.0,4,2,20.2566
101,NexGen Systems,Search,Men 25-34,45 days,Youtube,0.07,"$18,735.00",4.86,Los Angeles,Spanish,706,8715,6,Foodies,2021-04-11,18735.0,45.0,4,2,8.101
102,TechCorp,Search,Men 18-24,45 days,Youtube,0.09,"$9,941.00",4.54,Chicago,English,207,8334,4,Tech Enthusiasts,2021-04-12,9941.0,45.0,4,2,2.4838
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,0.08,"$10,113.00",6.87,Houston,English,583,1005,3,Health & Wellness,2021-04-13,10113.0,60.0,4,2,58.01
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.1,"$8,310.00",7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,2021-04-14,8310.0,15.0,4,2,12.6297
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,0.06,"$15,073.00",2.17,Los Angeles,English,387,8035,2,Health & Wellness,2021-04-15,15073.0,30.0,4,2,4.8164
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,"$7,541.00",3.35,Chicago,Spanish,560,3439,7,Fashionistas,2021-04-16,7541.0,30.0,4,2,16.2838
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.11,"$14,875.00",6.5,New York,German,306,1560,3,Health & Wellness,2021-04-17,14875.0,45.0,4,2,19.6154
108,TechCorp,Email,All Ages,45 days,Email,0.06,"$5,514.00",7.32,Miami,German,740,4550,1,Outdoor Adventurers,2021-04-18,5514.0,45.0,4,2,16.2637
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.05,"$15,107.00",4.79,Houston,Spanish,115,1475,10,Fashionistas,2021-04-19,15107.0,30.0,4,2,7.7966
110,Innovate Industries,Social Media,Women 25-34,15 days,Youtube,0.1,"$13,712.00",6.4,Chicago,English,366,3843,3,Fashionistas,2021-04-20,13712.0,15.0,4,2,9.5238
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.05,"$11,789.00",5.39,Houston,German,659,3670,9,Outdoor Adventurers,2021-04-21,11789.0,60.0,4,2,17.9564
112,DataTech Solutions,Email,All Ages,30 days,Website,0.13,"$18,335.00",7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,2021-04-22,18335.0,30.0,4,2,15.9353
113,TechCorp,Display,Women 35-44,30 days,Google Ads,0.02,"$19,035.00",2.01,Miami,Mandarin,560,6945,7,Health & Wellness,2021-04-23,19035.0,30.0,4,2,8.0634
114,DataTech Solutions,Email,Women 25-34,15 days,Youtube,0.11,"$17,655.00",4.04,Los Angeles,English,369,8912,4,Health & Wellness,2021-04-24,17655.0,15.0,4,2,4.1405
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.11,"$6,710.00",2.72,Houston,German,886,6158,7,Fashionistas,2021-04-25,6710.0,45.0,4,2,14.3878
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.09,"$9,899.00",3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,2021-04-26,9899.0,15.0,4,2,9.1636
117,Innovate Industries,Email,All Ages,30 days,Instagram,0.14,"$7,032.00",7.86,Chicago,Spanish,595,1555,4,Health & Wellness,2021-04-27,7032.0,30.0,4,2,38.2637
118,TechCorp,Social Media,All Ages,45 days,Website,0.05,"$5,174.00",4.98,Houston,German,438,9741,1,Tech Enthusiasts,2021-04-28,5174.0,45.0,4,2,4.4965
119,Innovate Industries,Display,Women 35-44,15 days,Youtube,0.14,"$15,679.00",3.71,Los Angeles,German,652,3884,7,Foodies,2021-04-29,15679.0,15.0,4,2,16.7868
120,NexGen Systems,Display,All Ages,45 days,Youtube,0.07,"$12,143.00",7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,2021-04-30,12143.0,45.0,4,2,9.0143
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,0.02,"$19,329.00",7.58,Houston,English,841,4536,8,Outdoor Adventurers,2021-05-01,19329.0,45.0,5,2,18.5406
122,Innovate Industries,Search,All Ages,60 days,Email,0.09,"$8,854.00",6.78,Chicago,German,137,4002,6,Tech Enthusiasts,2021-05-02,8854.0,60.0,5,2,3.4233
123,Alpha Innovations,Influencer,Women 35-44,45 days,Youtube,0.04,"$5,232.00",7.61,New York,German,850,6515,5,Foodies,2021-05-03,5232.0,45.0,5,2,13.0468
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,0.02,"$13,006.00",3.7,Chicago,Spanish,727,2863,1,Fashionistas,2021-05-04,13006.0,30.0,5,2,25.3929
125,DataTech Solutions,Email,Men 18-24,45 days,Website,0.13,"$5,653.00",6.08,Chicago,Mandarin,986,4477,10,Foodies,2021-05-05,5653.0,45.0,5,2,22.0237
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,0.02,"$18,169.00",5.5,Miami,English,259,3941,7,Outdoor Adventurers,2021-05-06,18169.0,45.0,5,2,6.5719
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.08,"$13,316.00",6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,2021-05-07,13316.0,45.0,5,2,4.467
128,NexGen Systems,Email,All Ages,15 days,Email,0.08,"$17,847.00",6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,2021-05-08,17847.0,15.0,5,2,10.3905
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.06,"$10,639.00",4.32,New York,Spanish,166,5735,10,Health & Wellness,2021-05-09,10639.0,45.0,5,2,2.8945
130,Innovate Industries,Display,Men 25-34,15 days,Youtube,0.03,"$10,945.00",3.16,Chicago,Spanish,508,8054,6,Fashionistas,2021-05-10,10945.0,15.0,5,2,6.3074
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,0.11,"$5,167.00",6.63,New York,Spanish,885,1932,7,Fashionistas,2021-05-11,5167.0,15.0,5,2,45.8075
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,0.15,"$8,300.00",6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,2021-05-12,8300.0,60.0,5,2,3.2631
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,0.14,"$13,469.00",7.54,Houston,German,857,4028,8,Fashionistas,2021-05-13,13469.0,15.0,5,2,21.2761
134,TechCorp,Search,Men 25-34,30 days,Facebook,0.1,"$19,254.00",2.41,Miami,English,481,1876,7,Foodies,2021-05-14,19254.0,30.0,5,2,25.6397
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.04,"$10,704.00",6.46,Chicago,French,999,7543,8,Tech Enthusiasts,2021-05-15,10704.0,60.0,5,2,13.2441
136,NexGen Systems,Email,Men 18-24,30 days,Email,0.15,"$9,229.00",3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,2021-05-16,9229.0,30.0,5,2,15.6526
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.1,"$14,125.00",4.9,Houston,Spanish,885,7833,5,Fashionistas,2021-05-17,14125.0,60.0,5,2,11.2984
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.04,"$8,222.00",6.17,Houston,Mandarin,666,1435,4,Foodies,2021-05-18,8222.0,60.0,5,2,46.4111
139,NexGen Systems,Email,Men 18-24,45 days,Website,0.07,"$14,226.00",3.77,Chicago,German,359,9440,8,Outdoor Adventurers,2021-05-19,14226.0,45.0,5,2,3.803
140,DataTech Solutions,Email,Men 18-24,60 days,Website,0.06,"$18,985.00",4.61,Miami,English,328,8840,5,Fashionistas,2021-05-20,18985.0,60.0,5,2,3.7104
141,NexGen Systems,Email,Women 25-34,15 days,Email,0.08,"$5,599.00",3.43,Houston,English,571,2404,3,Fashionistas,2021-05-21,5599.0,15.0,5,2,23.7521
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.08,"$11,952.00",3.48,Houston,English,845,5702,8,Health & Wellness,2021-05-22,11952.0,45.0,5,2,14.8194
143,Innovate Industries,Display,Women 35-44,15 days,Facebook,0.05,"$14,503.00",3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,2021-05-23,14503.0,15.0,5,2,6.3934
144,DataTech Solutions,Search,Men 25-34,45 days,Instagram,0.11,"$10,404.00",2.41,New York,German,418,3556,2,Tech Enthusiasts,2021-05-24,10404.0,45.0,5,2,11.7548
145,TechCorp,Social Media,Men 18-24,30 days,Email,0.12,"$7,484.00",5.86,Houston,English,208,8730,2,Outdoor Adventurers,2021-05-25,7484.0,30.0,5,2,2.3826
146,TechCorp,Search,Men 25-34,60 days,Google Ads,0.03,"$7,428.00",4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,2021-05-26,7428.0,60.0,5,2,10.7357
147,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.1,"$11,495.00",5.13,Los Angeles,French,734,2612,5,Health & Wellness,2021-05-27,11495.0,15.0,5,2,28.1011
148,TechCorp,Influencer,All Ages,30 days,Facebook,0.13,"$18,957.00",2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,2021-05-28,18957.0,30.0,5,2,21.8782
